animal,infant,female,male,group,meat
Ram||Also see Sheep,lamb,ewe,ram,flock,lamb||mutton
Rat,kitten||pup,doe,buck,colony||horde||mischief,
Raven,chick,hen,cock,conspiracy||unkindness,
Red deer,calf,hind,stag||hart,herd,venison
Red panda,cub,sow,boar,pack,
Reindeer (caribou),calf,cow,bull,herd,
Rhea,chick,,,,
Rhinoceros,calf,cow,bull,herd||crash,
Rook,,,,building||parliament,
Salamander,larva,,,maelstrom,
Salmon,parr,hen,cock,,
Sand dollar,larva pluteus (free swimming stage)||juvenile (young urchin),,,,
Sandpiper,,,,fling,
Sardine,,,,family ,
Sassaby,calf,,bull,herd,
Sea lion,pup||calf,cow,bull,,
Seahorse,seafoal,seamare,seastallion,shoal,
Seal,pup,cow,bull,herd||pod||rookery,
Serval,kitten,,,,
Shark,cub||pup,,bull,shiver ,flake (AUS)
Sheep||Also see Ram,lamb||lambkin||cosset,ewe||dam,ram||buck||wether (castrated),flock||fold||herd,lamb||mutton||hogget
Shrew,shrewlet,sow,boar,colony||drove,
Shrike,chick,,,,
Skink,hatchling,,,,
Skipper,caterpillar,,,,
Skunk,kit,sow,boar,surfeit,
Sloth,kitten||pup||baby,sow,boar,,
Snail,,,,escargatoire||rout||walk,escargot
Snake ,snakelet||hatchling (newly hatched)||neonate (newborn),,,nest||ball||slither,
Spider ,spiderling,,,cluster||clutter,
Spoonbill,chick,,,,
Squid,paralarva,,,shoal,
Squirrel,pup||kit||kitten,doe,buck,scurry,
Starling,,,,chattering||murmuration,
Stilt,chick,,,,
Swan,cygnet||flapper,pen,cob,flock||lamentation||bevy||game||wedge (in flight),
Tapir,calf,cow,bull,herd,
Termite,larva,,,colony||nest||swarm,
Thrush,chick,,,,
Tiger,cub||whelp,tigress,tiger,ambush||streak,
Toad,tadpole||toadlet,,,knot,
Topi,calf,cow,bull,herd,
Toucan,chick,,,,
Turkey,poult,hen,gobbler||stag||tom||jake (immature),rafter,poultry
Turtle,hatchling,,,bale,
Vicuna,calf,cow,bull,posse||herd,
Vinegaroon,,,,,
Viper,hatchling,,,,
Vulture,chick,,,,
Wallaby,joey,jill,jack,mob,
Walrus,calf,cow,bull,herd||pod,
Wasp,larva,queen||worker,drone,swarm||hive||colony||nest,
Water buffalo,calf,cow,bull,,carabeef
Weasel,pup||kit,bitch||doe||jill,buck||dog||hub||jack,gang||sneak,
Whale,calf,cow,bull,pod||school||gam,blubber
Wolf,pup||puppy||cub||whelp,bitch||she-wolf,dog,pack,
Wolverine,kit||whelp,angeline,wolverine,pack,
Wombat,joey,jill,jack,wisdom,
Woodpecker,chick,,,,
Wren,chick,cow,bull,,
Yak,calf,cow,bull,herd,
Zebra,foal||colt (male)||filly (female),mare,stallion,herd||cohort||dazzle ||zeal,
Dommes,Sir,Miss,Gross,Devestation,
